age,gender,vehicle_age,vehicle_type,annual_mileage,driving_violations,claim_amount,previous_claims,credit_score,region,is_fraud
52,F,2,sedan,9765,2,1910,1,724,urban,0
42,F,6,suv,1000,1,1168,0,697,rural,0
54,M,5,sports,12915,1,7009,1,593,urban,0
67,M,7,sports,21722,0,1668,0,735,suburban,1
41,M,4,suv,18522,0,2586,0,784,rural,0
41,F,7,sports,6238,1,2611,0,580,rural,0
68,F,4,sports,6011,0,5837,3,579,suburban,1
56,M,5,suv,5260,1,16484,0,501,suburban,0
37,F,5,truck,5516,1,3401,1,619,rural,0
53,M,5,luxury,6814,2,757,0,496,urban,0
38,M,6,sedan,7581,2,507,1,674,suburban,1
38,F,5,sports,14725,0,4786,1,572,rural,1
48,F,3,luxury,16772,0,1936,4,649,rural,0
18,F,3,suv,6768,0,2529,0,557,suburban,0
19,F,5,sports,4085,0,7164,1,569,urban,1
36,M,4,luxury,16104,0,4577,0,741,urban,0
29,F,5,sedan,17004,0,3445,3,751,urban,0
49,F,2,luxury,18818,0,584,1,489,suburban,0
31,F,8,truck,8451,1,2851,0,606,urban,0
23,F,4,sports,6345,1,2722,1,575,urban,0
66,M,1,sedan,16225,1,661,0,682,urban,0
41,M,3,sedan,19927,0,2993,0,691,rural,0
46,F,6,sedan,12360,0,4218,1,731,suburban,0
23,F,7,truck,18975,0,1877,1,549,suburban,1
36,M,5,luxury,9958,1,2576,0,627,rural,0
46,M,3,sedan,10174,0,1822,1,539,urban,0
27,F,5,truck,18981,0,12143,1,632,suburban,0
50,M,4,sports,12517,0,1407,0,540,suburban,0
35,M,4,sports,15602,1,1546,2,546,rural,1
40,M,2,suv,7106,1,1199,0,793,rural,1
35,M,3,truck,9897,0,4903,0,725,suburban,0
72,F,4,sedan,4168,0,2633,3,630,rural,0
44,M,6,truck,12026,0,500,1,670,suburban,0
29,M,8,truck,8388,1,14622,0,696,suburban,0
57,F,5,luxury,13551,0,573,1,850,suburban,0
26,F,2,suv,10510,1,687,0,595,urban,0
48,F,3,truck,21267,1,3356,2,546,urban,0
18,M,6,sedan,13534,0,3551,2,619,suburban,0
25,F,6,suv,12446,2,1681,0,766,suburban,0
47,M,9,sports,8387,0,1110,0,653,suburban,0
56,F,5,truck,12221,0,4715,1,632,urban,0
47,M,3,luxury,15647,0,5638,0,491,urban,0
43,F,6,sedan,4389,0,2427,1,582,rural,0
40,F,4,truck,17340,2,1230,1,477,rural,0
22,M,5,luxury,16407,2,9488,0,681,rural,0
34,F,4,sports,13308,0,2892,0,735,suburban,0
38,F,7,truck,17634,1,2639,0,764,rural,1
60,F,9,luxury,8467,0,3371,0,646,urban,0
50,F,6,sedan,4071,2,5587,0,607,rural,0
18,F,5,sedan,14308,0,3365,1,696,rural,0
49,M,2,sports,3944,0,2407,0,695,urban,0
39,M,7,suv,5841,0,1572,2,709,suburban,0
34,F,2,truck,6993,1,1098,0,656,urban,0
54,F,5,luxury,11591,0,1818,2,524,rural,0
60,M,5,sports,10193,0,2210,0,724,urban,0
58,M,4,sports,6810,1,3368,3,572,suburban,0
32,F,2,luxury,22181,0,13538,0,572,suburban,0
40,M,11,suv,17347,2,707,0,446,urban,0
49,F,5,suv,12709,1,17719,2,739,rural,1
59,F,8,sports,16225,0,2677,1,705,suburban,0
37,F,10,sports,11302,0,5037,0,833,suburban,0
42,F,10,sports,20771,1,5750,1,702,suburban,0
28,M,5,sports,24556,1,3230,2,647,rural,0
27,M,2,sports,15262,0,5796,1,533,suburban,0
57,M,7,truck,2278,3,2116,0,682,suburban,0
65,F,7,truck,13129,0,3003,1,679,urban,0
43,M,10,truck,12309,0,4588,0,569,suburban,0
60,F,3,sedan,13242,0,500,1,698,urban,0
50,F,7,truck,17606,0,7074,3,588,urban,0
35,M,6,truck,9111,0,16203,0,657,urban,0
50,F,2,suv,11219,1,11140,1,775,urban,1
68,F,2,sports,12559,0,7158,0,547,rural,1
44,F,3,luxury,9682,0,10918,5,623,rural,0
68,M,4,suv,15342,0,2940,2,800,suburban,0
